"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"12" "Chargers D/ST" "6.60-19.54" 12.6 3.72 1.36 0.78 0.02 0.32 "#31" 19.54 6.6 6.47 41.8609 3 3 295.52 3 2 14.96
"5" "Ravens D/ST" "6.25-19.89" 12.89 2.96 1.56 0.86 0.1 0.32 "#26" 19.89 6.25 6.82 46.5124 3 3 297.028 3 2 14.92
"17" "Ravens D/ST" "6.25-19.89" 12.89 2.96 1.56 0.86 0.1 0.32 "#26" 19.89 6.25 6.82 46.5124 3 3 297.028 3 2 14.92
"6" "Vikings D/ST" "6.63-19.65" 12.89 3.12 1.44 1.02 0.04 0.3 "#31" 19.65 6.63 6.51 42.3801 3 3 297.028 3 2 14.92
"3" "Vikings D/ST" "4.71-16.87" 12.51 2.32 0.89 0.71 0.05 0.32 "#32" 16.87 4.71 6.08 36.9664 3 3 295.052 3 2 12.54
"2" "Rams D/ST" "6.96-19.84" 15.35 3.54 1.5 0.92 0.04 0.42 "#31" 19.84 6.96 6.44 41.4736 4 1 309.82 4 0 11.98
"16" "Jaguars D/ST" "5.84-19.84" 15.35 2.96 1.34 0.92 0.06 0.52 "#24" 19.84 5.84 7 49 4 1 309.82 4 0 11.72
"7" "Broncos D/ST" "5.86-18.62" 16.16 3.08 1.3 0.96 0.08 0.38 "#31" 18.62 5.86 6.38 40.7044 4 1 314.032 4 0 11.04
"12" "Jaguars D/ST" "5.95-18.99" 14.79 2.99 1.44 0.78 0.02 0.4 "#32" 18.99 5.95 6.52 42.5104 4 1 306.908 4 0 10.87
"1" "Ravens D/ST" "6.47-17.25" 16.72 3.11 1.56 0.66 0.1 0.35 "#32" 17.25 6.47 5.39 29.0521 4 1 316.944 4 0 10.85
"16" "Rams D/ST" "5.40-19.46" 14.79 2.94 1.48 0.9 0.06 0.3 "#31" 19.46 5.4 7.03 49.4209 4 1 306.908 4 0 10.62
"1" "Jaguars D/ST" "5.18-19.26" 14.21 3.18 1.24 0.76 0.08 0.34 "#29" 19.26 5.18 7.04 49.5616 4 1 303.892 4 0 10.38
"8" "Seahawks D/ST" "5.32-17.10" 17.25 2.78 1.32 0.82 0.06 0.36 "#30" 17.1 5.32 5.89 34.6921 4 1 319.7 4 0 10.34
"15" "Vikings D/ST" "5.43-18.65" 13.9 2.78 1.32 0.92 0.06 0.32 "#24" 18.65 5.43 6.61 43.6921 4 1 302.28 4 0 10.3
"6" "Eagles D/ST" "4.73-18.03" 16.47 2.76 1.32 1.02 0.08 0.28 "#29" 18.03 4.73 6.65 44.2225 4 1 315.644 4 0 10.28
"12" "Eagles D/ST" "4.73-18.03" 16.47 2.76 1.32 1.02 0.08 0.28 "#29" 18.03 4.73 6.65 44.2225 4 1 315.644 4 0 10.28
"8" "Redskins D/ST" "4.90-17.80" 17.38 2.66 1.7 0.7 0.04 0.28 "#29" 17.8 4.9 6.45 41.6025 4 1 320.376 4 0 10.22
"14" "Redskins D/ST" "4.90-17.80" 17.38 2.66 1.7 0.7 0.04 0.28 "#29" 17.8 4.9 6.45 41.6025 4 1 320.376 4 0 10.22
"14" "Jaguars D/ST" "5.93-17.03" 15.14 3.12 1.42 0.6 0.04 0.32 "#28" 17.03 5.93 5.55 30.8025 4 1 308.728 4 0 10.16
