"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. Derby" "TE" 1.73 1.73 2.65 2.38 1.76 1.68 1.95 2.36 1.83 2.39 NA 2.55 2.34 2.52 1.51 1.58 2.22
"A.J. Green" "WR" 12.65 10.69 11.96 10.8 9.93 11.41 9.99 12.14 NA 11.81 10.33 13.23 10.55 11.94 12.63 12.7 10.95
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.7 0.57 0.62 NA 0.74 0.71 0.6 0.58 0.51 0.76 0.7 0.63 0.59 0.71
"Aaron Jones" "RB" 0 0 5.42 5.09 5.24 6.89 NA 5.42 5.58 5.58 5.81 3.49 5.17 4.64 5.01 4.77 5.8
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.6 22.16 24.91 NA 19.8 24.9 22.4 20.49 20.63 22.41 23.08 20.89 20.86 23.57
"Adam Humphries" "WR" 2.14 2.32 2.2 2.6 NA 2.35 2.29 2.63 2.35 2.12 2.56 2.28 2.43 2.54 2.41 2.57 2.4
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.63 0.61 0.66 0.6 0.63 0.63 0.67 0.76 0.7 0.57
"Adam Thielen" "WR" 11.05 10.03 11.35 10.4 10.63 11.02 9.94 10.92 11.05 NA 10.09 13.96 11.32 10.99 12.59 10.72 10.37
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 8.41 8.25 9.26 8.29 8.56 9 9.13 8.56 6.77 8.93 5.87 6.37 7.41
"Alan Cross" "TE" 0.67 0.57 0.54 0.48 NA 0.56 0.6 0.59 0.48 0.61 0.62 0.6 0.49 0.6 0.49 0.52 0.58
"Albert Wilson" "WR" 4.01 3.73 4.78 4.29 4.05 4.64 4.24 4.22 4.42 4.22 NA 4.18 4.67 4.46 4.33 4.37 4.5
"Aldrick Robinson" "WR" NA NA 0.5 0.42 0.35 0.48 0.46 0.47 0.41 NA 0.41 0.42 0.44 0.46 0.46 0.4 0.43
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.7 0.64 0.46 0.51 0.63 0.64 0.66 0.48 0.58 0.62 0.66 0.68 0.61
"Alex Collins" "RB" 10.28 8.1 9.93 10.01 9.73 9.74 10.79 9.16 10.79 NA 10.51 12.14 9.87 12.01 12.5 9.31 10.61
"Alex Ellis" "TE" 0.4 0.48 0.55 0.56 0.61 0.58 0.66 0.59 0.62 0.65 0.64 NA 0.53 0.6 0.67 0.53 0.56
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 0.81 0.73 0.85 0.93 NA 0.87 0.72 0.87 0.87 0.66 0.87 0.84 0.71
"Alex Smith" "QB" 14.97 20.24 18.71 NA 17.23 18.1 18.8 17.69 19.2 19.22 20.89 17.57 17 18.89 15.35 18.6 18.11
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 3.82 4.29 4.76 2.9 4.22 2.65 NA 4.36 3.81 3.75 4.05 3.65 2.54 3.18
