"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"17" "Ravens D/ST" "6.49-20.31" 12.39 3.47 1.3 0.9 0.04 0.34 "#30" 20.31 6.49 6.91 47.7481 3 3 294.428 3 2 14.99
"3" "Vikings D/ST" "4.71-16.87" 12.51 2.32 0.89 0.71 0.05 0.32 "#32" 16.87 4.71 6.08 36.9664 3 3 295.052 3 2 12.54
"2" "Rams D/ST" "6.96-19.84" 15.35 3.54 1.5 0.92 0.04 0.42 "#31" 19.84 6.96 6.44 41.4736 4 1 309.82 4 0 11.98
"17" "Seahawks D/ST" "6.28-20.12" 14.15 3.48 1.28 1.06 0.04 0.34 "#31" 20.12 6.28 6.92 47.8864 4 1 303.58 4 0 11.28
"1" "Ravens D/ST" "6.47-17.25" 16.72 3.11 1.56 0.66 0.1 0.35 "#32" 17.25 6.47 5.39 29.0521 4 1 316.944 4 0 10.85
"10" "Jets D/ST" "5.82-18.56" 14.56 3.41 1.28 0.72 0.04 0.36 "#32" 18.56 5.82 6.37 40.5769 4 1 305.712 4 0 10.65
"14" "Jets D/ST" "5.82-18.56" 14.56 3.41 1.28 0.72 0.04 0.36 "#32" 18.56 5.82 6.37 40.5769 4 1 305.712 4 0 10.65
"16" "Rams D/ST" "5.72-18.02" 16.23 2.77 1.38 0.98 0.1 0.3 "#31" 18.02 5.72 6.15 37.8225 4 1 314.396 4 0 10.49
"15" "Broncos D/ST" "4.60-18.58" 15.37 2.98 1.54 0.72 0.06 0.3 "#30" 18.58 4.6 6.99 48.8601 4 1 309.924 4 0 10.42
"1" "Jaguars D/ST" "5.18-19.26" 14.21 3.18 1.24 0.76 0.08 0.34 "#23" 19.26 5.18 7.04 49.5616 4 1 303.892 4 0 10.38
"16" "Patriots D/ST" "5.71-17.35" 15.24 3.15 1.22 0.88 0.04 0.32 "#32" 17.35 5.71 5.82 33.8724 4 1 309.248 4 0 10.35
"13" "Seahawks D/ST" "4.18-18.18" 16.3 3.22 1.14 0.9 0.04 0.32 "#27" 18.18 4.18 7 49 4 1 314.76 4 0 10.3
