"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"A.J. McCarron" "QB" 0.54 0.5 0.63 0.61 0.57 0.58 NA 0.83 0.72 0.15 0.13 0.13 0.16 0.09 0.11 0.08 0.1
"Aaron Jones" "RB" 0 0 5.42 5.58 8.76 7.16 NA 5.88 8.77 11.3 12.08 11.57 15.6 14.81 12.12 13.87 14.74
"Aaron Rodgers" "QB" 22.36 19.52 20.7 22.61 21.59 21.89 NA 23.08 23.17 23.58 20.8 22.62 22.55 23.98 20.5 22.68 27.06
"Adam Humphries" "WR" 2.14 2.32 2.2 3.92 NA 3.72 3.57 2.62 4 3.88 4.75 4.99 6.89 6.75 6.2 3.62 4.79
"Adam Shaheen" "TE" 0 0 0 0 NA 0 0 0.5 0.51 0.57 0.53 0 0.45 0.25 0.25 0.23 0.24
"Adam Thielen" "WR" 11.05 10.03 11.35 9.78 12.27 13.17 14.47 15.43 14.51 NA 12.08 13.32 13.8 14.43 13.38 14.24 12.45
"Adrian Peterson" "RB" 3.71 9.35 9.32 NA 9.69 11.34 11.45 11.6 14.21 12.78 10.33 11.47 13.34 11.07 9.37 9.49 11.82
"Alan Cross" "TE" 0.67 0.57 0.54 0.49 NA 1.06 0.44 0.57 0.58 0.46 0.46 1.1 0.56 0.28 0.26 0.22 0.31
"Aldrick Robinson" "WR" NA NA 0.5 0.43 2.13 0.51 0.54 0.79 4.6 NA 1.13 3.26 0.84 1.22 0.59 0.56 0.68
"Alex Armah" "RB" 0.69 0.61 0.63 NA 0.59 0.39 0.3 0.69 1.16 1.03 0.99 1.11 1.02 0.74 0.71 1.29 0.67
"Alex Erickson" "WR" 0.47 0.5 0.79 0.82 1.26 1.07 1.48 0.9 NA 1.6 0.52 0.52 0.68 0.27 0.38 0.27 0.29
"Alex Tanney" "QB" 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0 0 0
"Alfred Blue" "RB" 3.38 2.71 4.54 4.98 8.86 6.58 5.31 4.67 4.71 NA 5.08 4.16 3.68 3.6 4.13 4.31 4.33
"Alfred Morris" "RB" 5.23 7.48 8.35 6.96 6.2 6.73 3.74 5.54 5 4.69 NA 0 0 1.52 0 0.84 0.92
"Allen Hurns" "WR" 4.5 4.92 4.66 4.73 4.9 4.48 3.64 NA 2.44 1.98 3.61 3.36 2.08 1.89 2.3 2.49 1.74
"Allen Robinson" "WR" 8.56 8.46 8.4 7.7 NA 8.03 7.2 0 0 7.2 8.36 9.17 8.41 8.22 8.71 9.09 8.04
"Alshon Jeffery" "WR" 0 0 0 3.85 9.19 9.03 10.67 10.99 NA 10.41 10.33 9.18 8.39 8.27 8.01 8.84 7.54
"Alvin Kamara" "RB" 19.29 18.49 16.06 17.7 17.45 NA 13.68 14.82 18.52 17.89 19.44 18.78 16.97 18.84 17.69 17.13 19.85
