"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"2" "Greg Zuerlein" "4.93-16.37" 2.17 2.36 2.88 2.88 10.65 "#30" 0 0.19 10.08 16.37 4.93 5.72 32.7184
"1" "Caleb Sturgis" "5.43-16.15" 2.18 2.52 3.29 3.29 10.79 "#32" 0 0.34 9.77 16.15 5.43 5.36 28.7296
"2" "Wil Lutz" "5.68-14.42" 1.89 2.02 3.64 3.66 10.05 "#5" 0.02 0.13 9.64 14.42 5.68 4.37 19.0969
"17" "Justin Tucker" "5.59-14.55" 2.26 2.45 2.03 2.07 10.07 "#5" 0.04 0.19 9.46 14.55 5.59 4.48 20.0704
"14" "Wil Lutz" "6.06-14.04" 2 2.2 3.26 3.3 10.05 "#27" 0.04 0.2 9.41 14.04 6.06 3.99 15.9201
"10" "Greg Zuerlein" "5.66-14.72" 1.99 2.24 2.94 2.98 10.19 "#12" 0.04 0.25 9.4 14.72 5.66 4.53 20.5209
"1" "Wil Lutz" "6.05-13.95" 1.9 2.12 3.55 3.59 10 "#27" 0.04 0.22 9.3 13.95 6.05 3.95 15.6025
"1" "Greg Zuerlein" "6.39-13.49" 1.93 2.16 3.25 3.26 9.94 "#29" 0.00999999999999979 0.23 9.24 13.49 6.39 3.55 12.6025
"2" "Robbie Gould" "3.99-15.43" 2 2.16 2.78 2.83 9.71 "#25" 0.0500000000000003 0.16 9.18 15.43 3.99 5.72 32.7184
"5" "Chris Boswell" "6.19-13.89" 1.95 2.24 3.34 3.38 10.04 "#26" 0.04 0.29 9.13 13.89 6.19 3.85 14.8225
"15" "Chris Boswell" "6.21-13.69" 1.96 2.26 3.36 3.4 9.95 "#18" 0.04 0.3 9.01 13.69 6.21 3.74 13.9876
"3" "Josh Lambo" "5.12-14.14" 2.09 2.29 2.29 2.32 9.63 "#17" 0.0299999999999998 0.2 9 14.14 5.12 4.51 20.3401
"11" "Justin Tucker" "4.42-14.88" 2.07 2.28 2.23 2.27 9.65 "#11" 0.04 0.21 8.98 14.88 4.42 5.23 27.3529
"5" "Justin Tucker" "5.28-13.76" 2.14 2.31 1.92 1.96 9.52 "#5" 0.04 0.17 8.97 13.76 5.28 4.24 17.9776
"15" "Matt Bryant" "5.56-13.34" 1.98 2.14 2.56 2.58 9.45 "#30" 0.02 0.16 8.95 13.34 5.56 3.89 15.1321
"1" "Justin Tucker" "3.57-15.53" 1.93 2.12 2.98 3.03 9.55 "#28" 0.0499999999999998 0.19 8.93 15.53 3.57 5.98 35.7604
"13" "Wil Lutz" "5.31-13.73" 1.82 2 3.34 3.42 9.52 "#9" 0.0800000000000001 0.18 8.9 13.73 5.31 4.21 17.7241
"2" "Justin Tucker" "4.01-14.67" 1.98 2.15 2.31 2.33 9.34 "#11" 0.02 0.17 8.81 14.67 4.01 5.33 28.4089
