playoff,semi_win,champ_prob,Week,UpdateTime,Current,Owners,
0.665,0.37375,0.20935,4,2018-09-25 9:30:18 EDT,0.48595,scott,
0.73675,0.3213,0.1481,4,2018-09-25 9:30:18 EDT,0.51405,cory,
0.7133,0.383,0.1949,4,2018-09-25 9:30:18 EDT,0.60365,aj,
0.0852,0.03845,0.02,4,2018-09-25 9:30:18 EDT,0.2909,devon,
0.08925,0.0345,0.0109,4,2018-09-25 9:30:18 EDT,0.39635,comp,
0.5803,0.35355,0.18085,4,2018-09-25 9:30:18 EDT,0.65915,chad,
0.2526,0.09625,0.03355,4,2018-09-25 9:30:18 EDT,0.49365,lucas,
0.044,0.016,0.006,4,2018-09-25 9:30:18 EDT,0.7091,perry,
0.7759,0.3605,0.187,4,2018-09-25 9:30:18 EDT,0.50635,matty,
0.0577,0.0227,0.00935,4,2018-09-25 9:30:18 EDT,0.34085,seth,
