"","weekly_outcomes[, 1]","weekly_outcomes[, 2]","weekly_outcomes[, 3]","weekly_outcomes[, 4]","weekly_outcomes[, 5]","scott","cory","aj","devon","comp","chad","lucas","perry","matty","seth"
"1","devon","chad","seth","matty","perry",0.297752808988764,0.966292134831461,1,0.00561797752808989,0,0.674157303370786,0,0.00561797752808989,1,0.050561797752809
"2","scott","chad","seth","matty","perry",0.703614457831325,0.867469879518072,1,0,0,0.412048192771084,0,0,1,0.0168674698795181
"3","devon","cory","seth","matty","perry",0.590225563909774,1,1,0.018796992481203,0,0.218045112781955,0,0.0526315789473684,1,0.120300751879699
"4","scott","cory","seth","matty","perry",0.921465968586387,1,1,0,0,0.0575916230366492,0,0,1,0.0209424083769634
"5","devon","chad","aj","matty","perry",0.291848164281269,0.964841319228376,1,0.0112009956440573,0,0.711574362165526,0,0.0183571873055383,1,0.00217797137523335
"6","scott","chad","aj","matty","perry",0.723211911725605,0.87609678277054,1,0,0,0.400558362137729,0,0.000664716830630152,0.999468226535496,0
"7","devon","cory","aj","matty","perry",0.617339990921471,1,1,0.0324557421697685,0,0.278937812074444,0,0.0683159328188833,1,0.0029505220154335
"8","scott","cory","aj","matty","perry",0.938068874917894,1,1,0,0,0.0605235995120578,0,0.00140752557004786,1,0
"9","devon","chad","seth","comp","perry",0.25,0.980769230769231,1,0,0,0.711538461538462,0,0,1,0.0576923076923077
"10","scott","chad","seth","comp","perry",0.695652173913043,0.91304347826087,1,0,0.0072463768115942,0.434782608695652,0,0,0.920289855072464,0.0289855072463768
"11","devon","cory","seth","comp","perry",0.548780487804878,1,1,0.0365853658536585,0,0.280487804878049,0,0.024390243902439,1,0.109756097560976
"12","scott","cory","seth","comp","perry",0.92,1,1,0,0,0.0457142857142857,0,0.00571428571428571,1,0.0285714285714286
"13","devon","chad","aj","comp","perry",0.309344790547798,0.953813104189044,1,0.00537056928034372,0.00214822771213749,0.728249194414608,0,0.0193340494092374,0.980665950590763,0.00107411385606874
"14","scott","chad","aj","comp","perry",0.74394006170119,0.874394006170119,1,0,0.00308505949757602,0.432349052446011,0,0.000881445570736007,0.945350374614368,0
"15","devon","cory","aj","comp","perry",0.631949882537197,1,1,0.038371182458888,0,0.275646045418951,0,0.0501174628034456,1,0.00391542678151919
"16","scott","cory","aj","comp","perry",0.936887254901961,1,1,0,0,0.0625,0,0.00122549019607843,0.999387254901961,0
"17","devon","chad","seth","matty","lucas",0.231884057971014,0.956521739130435,1,0,0,0.72463768115942,0,0,1,0.0869565217391304
"18","scott","chad","seth","matty","lucas",0.725,0.86875,1,0,0,0.375,0,0,1,0.03125
"19","devon","cory","seth","matty","lucas",0.551401869158878,1,1,0.0280373831775701,0,0.280373831775701,0,0,1,0.14018691588785
"20","scott","cory","seth","matty","lucas",0.891050583657588,1,1,0,0,0.0700389105058366,0,0,1,0.0389105058365759
"21","devon","chad","aj","matty","lucas",0.309825673534073,0.952456418383518,1,0.0126782884310618,0,0.72107765451664,0,0,1,0.00396196513470681
"22","scott","chad","aj","matty","lucas",0.714053350683149,0.880936890045543,1,0,0,0.405009759271308,0,0,1,0
"23","devon","cory","aj","matty","lucas",0.61892036344201,1,1,0.0416889363976483,0,0.323890967397114,0,0,1,0.0154997327632282
"24","scott","cory","aj","matty","lucas",0.942334414080593,1,1,0,0,0.0576655859194071,0,0,1,0
"25","devon","chad","seth","comp","lucas",0.34375,0.96875,1,0,0,0.6875,0,0,1,0
"26","scott","chad","seth","comp","lucas",0.833333333333333,0.883333333333333,1,0,0,0.333333333333333,0,0,0.933333333333333,0.0166666666666667
"27","devon","cory","seth","comp","lucas",0.358974358974359,1,1,0.0769230769230769,0,0.41025641025641,0,0,1,0.153846153846154
"28","scott","cory","seth","comp","lucas",0.88695652173913,1,1,0,0,0.0695652173913043,0,0,1,0.0434782608695652
"29","devon","chad","aj","comp","lucas",0.344919786096257,0.943850267379679,1,0.0106951871657754,0.00267379679144385,0.713903743315508,0,0,0.981283422459893,0.00267379679144385
"30","scott","chad","aj","comp","lucas",0.76130389064143,0.870662460567823,1,0,0,0.427970557308097,0,0,0.94006309148265,0
"31","devon","cory","aj","comp","lucas",0.670886075949367,1,1,0.0235081374321881,0,0.289330922242315,0,0,1,0.0162748643761302
"32","scott","cory","aj","comp","lucas",0.941747572815534,1,1,0,0,0.0604929051530993,0,0,0.997759522031367,0
