"Owner" "Player"
"scott" "Drew Brees"
"scott" "Kareem Hunt"
"scott" "Marlon Mack"
"scott" "JuJu Smith-Schuster"
"scott" "Sammy Watkins"
"scott" "George Kittle"
"scott" "Rams D/ST"
"scott" "Graham Gano"
"scott" "John Brown"
"scott" "DeSean Jackson"
"scott" "Trey Burton"
"scott" "Taylor Gabriel"
"scott" "Dolphins D/ST"
"scott" "Marshawn Lynch"
"scott" "Todd Gurley II"
"cory" "Jared Goff"
"cory" "Mark Ingram II"
"cory" "James White"
"cory" "Julio Jones"
"cory" "Michael Thomas"
"cory" "Jarvis Landry"
"cory" "Kyle Rudolph"
"cory" "Chiefs D/ST"
"cory" "Wil Lutz"
"cory" "Aaron Rodgers"
"cory" "Carlos Hyde"
"cory" "Sterling Shepard"
"cory" "Nyheim Hines"
"cory" "DeVante Parker"
"cory" "Matt Breida"
"aj" "Cam Newton"
"aj" "Joe Mixon"
"aj" "Aaron Jones"
"aj" "Mike Evans"
"aj" "Alshon Jeffery"
"aj" "Travis Kelce"
"aj" "Greg Zuerlein"
"aj" "DeAndre Hopkins"
"aj" "Dalvin Cook"
"aj" "Amari Cooper"
"aj" "Mitchell Trubisky"
"aj" "Elijah McGuire"
"aj" "Sony Michel"
"aj" "Odell Beckham Jr."
"aj" "Ravens D/ST"
"aj" "Wendell Smallwood"
"devon" "Matt Ryan"
"devon" "Christian McCaffrey"
"devon" "Kerryon Johnson"
"devon" "Peyton Barber"
"devon" "Golden Tate"
"devon" "Brandin Cooks"
"devon" "Keenan Allen"
"devon" "Jared Cook"
"devon" "Jaguars D/ST"
"devon" "Matt Prater"
"devon" "A.J. Green"
"devon" "Demaryius Thomas"
"devon" "Evan Engram"
"devon" "Devonta Freeman"
"devon" "Broncos D/ST"
"devon" "Le'Veon Bell"
"comp" "Philip Rivers"
"comp" "Lamar Miller"
"comp" "Adrian Peterson"
"comp" "Randall Cobb"
"comp" "Antonio Brown"
"comp" "T.Y. Hilton"
"comp" "Calvin Ridley"
"comp" "Greg Olsen"
"comp" "Eagles D/ST"
"comp" "Stephen Gostkowski"
"comp" "Royce Freeman"
"comp" "Emmanuel Sanders"
"comp" "Austin Hooper"
"comp" "Michael Crabtree"
"comp" "Kirk Cousins"
"chad" "Kenny Golladay"
"chad" "Alvin Kamara"
"chad" "Dion Lewis"
"chad" "Devin Funchess"
"chad" "Julian Edelman"
"chad" "Rob Gronkowski"
"chad" "Deshaun Watson"
"chad" "Isaiah Crowell"
"chad" "LeSean McCoy"
"chad" "Stefon Diggs"
"chad" "Ito Smith"
"chad" "O.J. Howard"
"chad" "Courtland Sutton"
"lucas" "Tom Brady"
"lucas" "Kenyan Drake"
"lucas" "Tevin Coleman"
"lucas" "Chris Carson"
"lucas" "Cooper Kupp"
"lucas" "Doug Baldwin"
"lucas" "Josh Gordon"
"lucas" "David Njoku"
"lucas" "Bears D/ST"
"lucas" "Jason Myers"
"lucas" "Saquon Barkley"
"lucas" "Allen Robinson"
"lucas" "Ben Roethlisberger"
"lucas" "Chester Rogers"
"lucas" "Jermaine Kearse"
"lucas" "Chris Thompson"
"perry" "Tyler Boyd"
"perry" "Andrew Luck"
"perry" "Ezekiel Elliott"
"perry" "James Conner"
"perry" "Tarik Cohen"
"perry" "Davante Adams"
"perry" "Marquise Goodwin"
"perry" "DJ Moore"
"perry" "Zach Ertz"
"perry" "Texans D/ST"
"perry" "Dan Bailey"
"perry" "Carson Wentz"
"perry" "Phillip Lindsay"
"perry" "Tyler Lockett"
"perry" "Ryan Fitzpatrick"
"matty" "Patrick Mahomes"
"matty" "Melvin Gordon"
"matty" "Austin Ekeler"
"matty" "Marvin Jones Jr."
"matty" "Tyreek Hill"
"matty" "Robert Woods"
"matty" "Chris Godwin"
"matty" "Jordan Reed"
"matty" "Jets D/ST"
"matty" "Robbie Gould"
"matty" "David Johnson"
"matty" "Corey Davis"
"matty" "Geronimo Allison"
"matty" "Donte Moncrief"
"matty" "Devontae Booker"
"seth" "Jordan Howard"
"seth" "Nick Chubb"
"seth" "Larry Fitzgerald"
"seth" "Russell Wilson"
"seth" "Alex Collins"
"seth" "Frank Gore"
"seth" "Latavius Murray"
"seth" "Adam Thielen"
"seth" "Jordy Nelson"
"seth" "Marquez Valdes-Scantling"
"seth" "Jimmy Graham"
"seth" "Vikings D/ST"
"seth" "Harrison Butker"
"seth" "Leonard Fournette"
"seth" "T.J. Yeldon"
