wk;team;opp
1;1;5
2;1;2
3;1;3
4;1;10
5;1;4
6;1;9
7;1;7
8;1;8
9;1;4
10;1;5
11;1;2
12;1;3
13;1;6
1;2;3
2;2;1
3;2;4
4;2;5
5;2;6
6;2;10
7;2;9
8;2;7
9;2;8
10;2;3
11;2;1
12;2;4
13;2;5
1;3;2
2;3;7
3;3;1
4;3;4
5;3;5
6;3;8
7;3;6
8;3;10
9;3;5
10;3;2
11;3;9
12;3;1
13;3;4
1;4;8
2;4;5
3;4;2
4;4;3
5;4;1
6;4;6
7;4;10
8;4;9
9;4;1
10;4;7
11;4;5
12;4;2
13;4;3
1;5;1
2;5;4
3;5;9
4;5;2
5;5;3
6;5;7
7;5;8
8;5;6
9;5;3
10;5;1
11;5;4
12;5;10
13;5;2
1;6;7
2;6;10
3;6;8
4;6;9
5;6;2
6;6;4
7;6;3
8;6;5
9;6;7
10;6;10
11;6;8
12;6;9
13;6;1
1;7;6
2;7;3
3;7;10
4;7;8
5;7;9
6;7;5
7;7;1
8;7;2
9;7;6
10;7;4
11;7;10
12;7;8
13;7;9
1;8;4
2;8;9
3;8;6
4;8;7
5;8;10
6;8;3
7;8;5
8;8;1
9;8;2
10;8;9
11;8;6
12;8;7
13;8;10
1;9;10
2;9;8
3;9;5
4;9;6
5;9;7
6;9;1
7;9;2
8;9;4
9;9;10
10;9;8
11;9;3
12;9;6
13;9;7
1;10;9
2;10;6
3;10;7
4;10;1
5;10;8
6;10;2
7;10;4
8;10;3
9;10;9
10;10;6
11;10;7
12;10;5
13;10;8
